Property ID,MLS ID,Address,City,State,ZIP,Price,Beds,Baths,SqFt,Type,Year,Status,Agent,Phone,Broker
"ZPID31080729","MLS223950","9667 Lake View Blvd","Orlando","FL","33192",663000,2,1,2636,"Multi-Family",2009,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID37685865","MLS832199","7108 Maple Ave","Orlando","FL","33476",621000,5,2.5,3116,"Multi-Family",2007,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID12876594","MLS603643","4386 Pine St","Orlando","FL","33076",523000,5,1.5,2119,"Single Family",1997,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID3828026","MLS758952","5269 Sunset Way","Orlando","FL","33594",763000,5,3.5,2585,"Townhouse",2003,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID66502113","MLS399648","9036 Pine St","Orlando","FL","33399",316000,3,2,2008,"Townhouse",2012,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID98809567","MLS126875","1499 Main St","Orlando","FL","33307",457000,5,3.5,1971,"Townhouse",1993,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID38111011","MLS171431","9204 Pine St","Orlando","FL","33194",669000,3,1.5,2870,"Townhouse",1996,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID19316136","MLS501503","9575 Beach Rd","Orlando","FL","32771",283000,3,2.5,1031,"Condo",1996,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID84805833","MLS905238","5379 Pine St","Orlando","FL","33191",898000,5,3,3141,"Single Family",2007,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID73453655","MLS965408","4923 Oak Ave","Orlando","FL","32772",230000,5,2,1384,"Condo",2020,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID58310426","MLS355368","2484 Main St","Orlando","FL","33578",346000,3,3.5,1182,"Townhouse",2009,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID52059889","MLS11827","5926 Pine St","Orlando","FL","33060",296000,4,3.5,1355,"Single Family",2012,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID64051641","MLS371450","5732 Main St","Orlando","FL","32889",479000,2,2.5,1987,"Condo",2015,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID42426840","MLS796861","6349 Lake View Blvd","Orlando","FL","32896",347000,5,1,1238,"Townhouse",2007,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID35608824","MLS693154","3895 Main St","Orlando","FL","33488",492000,2,2,3258,"Single Family",1988,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID84230476","MLS979503","5262 Lake View Blvd","Orlando","FL","32888",600000,5,3.5,2437,"Condo",1999,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID78348992","MLS349932","4608 Maple Ave","Orlando","FL","32780",418000,4,1,2615,"Single Family",1990,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID41643938","MLS894087","6632 Pine St","Orlando","FL","32850",228000,4,1,1468,"Multi-Family",2019,"FOR_SALE","Emily Brown","(407) 555-0104","Coldwell Banker"
"ZPID61091716","MLS9573","5370 Lake View Blvd","Orlando","FL","33296",393000,2,2,1524,"Townhouse",1992,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID77253288","MLS927291","6590 Main St","Orlando","FL","33629",344000,3,2.5,2063,"Single Family",2010,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID95063662","MLS846989","6110 Beach Rd","Orlando","FL","32829",729000,4,1.5,2910,"Condo",1994,"FOR_SALE","Sarah Johnson","(407) 555-0102","RE/MAX"
"ZPID2452003","MLS684453","6347 Beach Rd","Orlando","FL","33585",590000,2,2.5,2123,"Multi-Family",2014,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID40655752","MLS778421","9434 Sunset Way","Orlando","FL","33071",948000,5,1.5,3194,"Single Family",2009,"FOR_SALE","John Smith","(407) 555-0101","Keller Williams"
"ZPID39249545","MLS801661","1182 Lake View Blvd","Orlando","FL","33050",441000,3,1.5,1899,"Single Family",1994,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
"ZPID97309868","MLS197245","8425 Beach Rd","Orlando","FL","33671",589000,5,1,3255,"Condo",1980,"FOR_SALE","Mike Davis","(407) 555-0103","Century 21"
